@relation dataset

@attribute class {relevant,irrelevant}
@attribute table numeric
@attribute li numeric
@attribute td numeric
@attribute tr numeric
@attribute h3 numeric
@attribute laptop numeric
@attribute specification numeric
@attribute tech numeric
@attribute notebook numeric
@attribute memory numeric
@attribute processor numeric
@attribute ul numeric
@attribute operating numeric

@data
irrelevant,0,451,0,1,44,1,1,0,1,1,0,114,3
irrelevant,0,712,0,1,0,0,0,11,0,7,0,172,0
irrelevant,0,438,0,1,6,3,0,0,0,0,0,66,0
irrelevant,3,1575,0,0,19,0,0,2,0,0,0,192,0
irrelevant,51,556,95,57,38,10,0,3,0,4,8,99,4
irrelevant,6,1042,30,16,16,7,1,15,1,10,0,214,1
irrelevant,0,338,0,0,46,0,0,1,0,5,3,68,1
irrelevant,3,294,2,2,8,4,0,3,0,2,3,36,6
irrelevant,16,1698,108,46,2,3,2,3,58,6,0,378,3
irrelevant,6,152,22,10,3,187,0,9,9,28,32,42,1
irrelevant,0,413,0,1,70,1,1,0,1,0,1,112,0
irrelevant,0,698,0,1,0,0,0,11,0,4,0,134,0
irrelevant,2,278,2,3,36,0,0,0,0,0,0,280,0
irrelevant,4,1537,1,0,116,0,0,2,0,0,0,217,0
irrelevant,3,446,0,2,16,4,0,0,0,3,5,56,0
irrelevant,0,1348,0,0,44,7,0,10,0,10,0,334,1
irrelevant,2,402,74,18,46,0,0,1,0,5,8,80,2
irrelevant,20,460,74,74,6,3,2,3,0,0,0,88,1
irrelevant,16,1698,108,46,2,3,2,3,36,6,0,378,3
irrelevant,7,141,22,9,17,196,0,9,9,27,31,38,1
irrelevant,0,229,0,0,12,3,0,0,4,0,1,40,0
irrelevant,0,1106,0,1,0,0,1,86,0,4,0,288,0
irrelevant,0,577,0,0,24,2,0,0,1,75,29,104,27
irrelevant,3,1473,0,0,17,0,0,2,0,0,0,231,0
irrelevant,34,568,95,57,44,8,0,3,0,7,5,97,4
irrelevant,6,1068,30,16,20,7,1,15,1,10,0,226,2
irrelevant,2,644,0,0,22,0,0,1,0,0,1,147,0
irrelevant,20,472,96,98,6,3,2,3,0,0,0,94,0
irrelevant,0,1548,0,0,1,3,0,3,0,6,0,336,3
irrelevant,6,153,22,10,3,188,0,9,9,28,31,42,1
irrelevant,0,390,0,1,42,1,0,0,2,0,0,108,0
irrelevant,8,770,48,45,12,0,0,11,0,4,0,196,0
irrelevant,0,629,0,0,14,2,0,0,0,8,7,109,3
irrelevant,3,1491,0,0,29,0,0,2,0,0,4,208,0
irrelevant,3,398,0,2,10,4,0,2,0,2,0,50,0
irrelevant,0,1520,0,0,74,7,0,9,0,13,0,362,1
irrelevant,2,580,0,0,22,0,0,4,0,0,0,127,6
irrelevant,2,568,2,2,26,106,0,3,2,0,0,178,0
irrelevant,0,1536,0,0,1,3,0,3,0,6,0,336,3
irrelevant,6,162,22,10,4,196,1,9,20,28,37,70,2
irrelevant,1,437,0,1,44,1,1,0,1,6,0,113,0
irrelevant,0,1236,0,1,0,6,0,11,0,5,8,308,3
irrelevant,0,416,0,1,18,2,0,0,0,0,0,62,0
irrelevant,3,1497,0,0,29,0,0,2,0,0,0,212,0
irrelevant,3,424,0,2,12,4,0,0,0,1,0,70,1
irrelevant,6,1130,30,16,20,7,0,15,1,13,4,254,4
irrelevant,0,370,0,0,24,0,0,2,0,0,0,64,0
irrelevant,2,316,2,2,40,2,0,3,0,6,0,42,0
irrelevant,0,1520,0,0,1,3,0,3,0,6,0,338,3
irrelevant,6,158,22,10,3,188,0,9,9,39,31,44,1
